name,image_url,Description,Brand,Category,Price,stock_count,Rating,Reviews
"iPhone 13 Pro,img_url_1,""The iPhone 13 Pro offers a bright Super Retina XDR display, A15 Bionic chip for top-notch performance, and a pro camera system for stunning photos and videos."",Apple,Smartphones,£999.00,100,4.5,200"
"Samsung Galaxy S21,img_url_2,""The Samsung Galaxy S21 features a Dynamic AMOLED 2X display, Exynos 2100 processor for seamless multitasking, and a high-quality camera with 8K video capability."",Samsung,Smartphones,£799.00,150,4.7,300"
"MacBook Pro,img_url_3,""The MacBook Pro boasts an Apple M1 Pro or M1 Max chip, a Liquid Retina XDR display, and up to 32GB of unified memory for a powerful computing experience."",Apple,Laptops,£2399.00,200,4.8,400"
"Dell XPS 13,img_url_4,""The Dell XPS 13 is known for its stunning 4K display, 11th Gen Intel Core i7 processor, and sleek, ultra-portable design."",Dell,Laptops,£1399.00,250,4.6,500"
"Sony WH-1000XM4,img_url_5,""The Sony WH-1000XM4 offers industry-leading noise cancellation, high-quality sound with LDAC coding, and a comfortable over-ear design."",Sony,Headphones,£349.00,300,4.9,600"
"Oculus Quest 2,img_url_6,""The Oculus Quest 2 is a standalone VR headset with a high-resolution display, next-generation graphics, and backward compatibility with original Quest games."",Oculus,VR Headsets,£299.00,350,4.8,700"
"Amazon Echo Dot (4th Gen),img_url_7,""The Amazon Echo Dot (4th Gen) is a smart speaker with Alexa that can play music, answer questions, control smart home devices, and more."",Amazon,Smart Speakers,£49.99,400,4.7,800"
"Fitbit Charge 4,img_url_8,""The Fitbit Charge 4 is a fitness tracker with built-in GPS, heart rate monitoring, sleep tracking, and up to 7 days of battery life."",Fitbit,Fitness Trackers,£129.99,450,4.6,900"
"Google Nest Hub,img_url_9,""The Google Nest Hub is a smart display that can control your smart home devices, play videos, show your calendar, and more."",Google,Smart Displays,£89.99,500,4.5,1000"
"Logitech MX Master 3,img_url_10,""The Logitech MX Master 3 is a wireless mouse with a comfortable design, customizable buttons, and a fast scroll wheel for productivity."",Logitech,Mice,£99.99,550,5.0,1100"
"iPad Pro,img_url_11,""The iPad Pro features a stunning Liquid Retina XDR display, Apple M1 chip, and support for Apple Pencil and Magic Keyboard."",Apple,Tablets,£999.00,600,4.9,1200"
"Canon EOS R5,img_url_12,""The Canon EOS R5 is a full-frame mirrorless camera with 8K video recording, in-body image stabilization, and high-speed autofocus."",Canon,Cameras,£4199.00,650,4.8,1300"
"Bose SoundLink Revolve+,img_url_13,""The Bose SoundLink Revolve+ is a portable Bluetooth speaker with 360-degree sound, a durable aluminum body, and up to 17 hours of battery life."",Bose,Speakers,£279.95,700,4.7,1400"
"NVIDIA GeForce RTX 3080,img_url_14,""The NVIDIA GeForce RTX 3080 is a powerful graphics card with Ampere architecture, 10GB of GDDR6X memory, and support for real-time ray tracing."",NVIDIA,Graphics Cards,£699.00,750,4.6,1500"
"Seagate BarraCuda (2TB),img_url_15,""The Seagate BarraCuda is a 2TB internal hard drive with fast read/write speeds, reliable performance, and a 2-year limited warranty."",Seagate,Hard Drives,£59.99,800,4.5,1600"
"Apple Watch Series 7,img_url_16,""The Apple Watch Series 7 offers a larger Retina display, robust health features, and seamless integration with the Apple ecosystem."",Apple,Smartwatches,£369.00,850,4.4,1700"
"Sony PlayStation 5,img_url_17,""The Sony PlayStation 5 is a next-generation console with ultra-high-speed SSD, 3D audio, and an immersive haptic feedback controller."",Sony,Gaming Consoles,£449.99,900,4.3,1800"
"Samsung QN90A Neo QLED 4K TV,img_url_18,""The Samsung QN90A Neo QLED 4K TV offers a stunning picture with Quantum Matrix Technology, a slim design, and smart TV features."",Samsung,TVs,£1999.00,950,4.2,1900"
"Apple AirPods Pro,img_url_19,""The Apple AirPods Pro offer active noise cancellation, a customizable fit, and a wireless charging case."",Apple,Earbuds,£249.00,1000,4.1,2000"
"Microsoft Surface Pro 8,img_url_20,""The Microsoft Surface Pro 8 is a versatile 2-in-1 laptop with a high-resolution 13"""" display, 11th Gen Intel Core processor, and up to 16GB of RAM."",Microsoft,2-in-1 Laptops,£899.00,1050,4.0,2100"